"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"colorspace","colorspace","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.0-3",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"cpp11","cpp11","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.2",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"crayon","crayon","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.5.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"data.table","data.table","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.14.2",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"digest","digest","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.6.29",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"dplyr","dplyr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.9",NA,"R (>= 3.4.0)","generics, glue (>= 1.3.2), lifecycle (>= 1.0.1), magrittr (>=
1.5), methods, R6, rlang (>= 1.0.2), tibble (>= 2.1.3),
tidyselect (>= 1.1.1), utils, vctrs (>= 0.4.1), pillar (>=
1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.1.1),
tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ellipsis","ellipsis","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"evaluate","evaluate","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.15",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"fansi","fansi","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.3",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"farver","farver","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fastmap","fastmap","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"Formula","Formula","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"future","future","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.26.1",NA,NA,"digest, globals (>= 0.15.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.30.0), tools, utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"generics","generics","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.1.2",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggplot2","ggplot2","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","3.3.6",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggpubr","ggpubr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"GlobalOptions","GlobalOptions","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"globals","globals","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.15.1",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"glue","glue","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"gower","gower","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.0",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"gridBase","gridBase","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"gridExtra","gridExtra","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"gtable","gtable","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"gtrellis","gtrellis","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.22.0",NA,"R (>= 3.1.2), grid, IRanges, GenomicRanges","circlize (>= 0.4.8), GetoptLong, grDevices, utils",NA,"testthat (>= 1.0.0), knitr, RColorBrewer, markdown,
ComplexHeatmap (>= 1.99.0), Cairo, png, jpeg, tiff",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"hardhat","hardhat","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.2.0",NA,"R (>= 3.4.0)","glue (>= 1.6.2), rlang (>= 1.0.3), tibble (>= 3.1.7), vctrs
(>= 0.4.1)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"here","here","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"highr","highr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"Hmisc","Hmisc","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","4.7-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"htmlTable","htmlTable","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.4.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"htmltools","htmltools","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"htmlwidgets","htmlwidgets","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ipred","ipred","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.9-13",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"isoband","isoband","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"iterators","iterators","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.2"
"jpeg","jpeg","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.1-9",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"jquerylib","jquerylib","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"jsonlite","jsonlite","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.8.0",NA,"methods",NA,NA,"httr, curl, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"knitr","knitr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.39",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.29), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"labeling","labeling","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.0.2"
"latticeExtra","latticeExtra","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"lava","lava","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"lifecycle","lifecycle","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"limma","limma","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","3.46.0",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.0.2"
"limSolve","limSolve","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.5.6",NA,"R (>= 2.10)","quadprog, lpSolve, MASS",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"lpSolve","lpSolve","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","5.6.15",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.0.2"
"lubridate","lubridate","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.8.0",NA,"methods, R (>= 3.2)","generics","cpp11 (>= 0.2.7)","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"magrittr","magrittr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ModelMetrics","ModelMetrics","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"munsell","munsell","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"NMF","NMF","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.24.0",NA,"R (>= 3.0.0), methods, utils, pkgmaker (>= 0.20), registry,
rngtools (>= 1.2.3), cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, BiocManager, Biobase",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, RUnit, mail",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"nnls","nnls","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.2"
"numDeriv","numDeriv","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"parallelly","parallelly","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.32.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"pcaMethods","pcaMethods","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.82.0",NA,"Biobase, methods","BiocGenerics, Rcpp (>= 0.11.3), MASS","Rcpp","matrixStats, lattice, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"pillar","pillar","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.7.0",NA,NA,"cli (>= 2.3.0), crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi,
glue, lifecycle, rlang (>= 0.3.0), utf8 (>= 1.1.0), utils,
vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pkgconfig","pkgconfig","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pkgmaker","pkgmaker","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.32.2",NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringr,
xtable, withr, assertthat",NA,"devtools (>= 0.8), roxygen2, RUnit, testthat, knitr,
rmarkdown, markdown, yaml, Biobase, datasets, rbibutils (>=
1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"plyr","plyr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.8.7",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"PMCMR","PMCMR","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","4.4",NA,"R (>= 3.0.0)","stats",NA,"multcompView",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"png","png","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"pROC","pROC","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"prodlim","prodlim","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"progressr","progressr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.10.1",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
